link,name,genre,director,year,appearance
https://kinobar.vip/25735-post-mortem.html,Пост Мортем,"Триллеры, Ужасы, Детектив, Скоро в кино, Фильмы 2020",Петер Бергенди,2020,"Вчера, 16:00"
https://kinobar.vip/25594-uskolzayuschiy-chelovek.html,Ускользающий человек,"Боевики, Фантастика, Детектив, Фильмы 2020",Юн Джэ-гын,2020,19 января 2022
https://kinobar.vip/25477-proklyatie-dom-s-prislugoy.html,Проклятие. Дом с прислугой,"Драмы, Триллеры, Ужасы, Детектив, Фильмы 2020",Ли Тхонгкхам,2020,9 января 2022
https://kinobar.vip/25141-vyhod.html,Выход,"Драмы, Триллеры, Фантастика, Детектив, Фильмы 2020",Sebastian Marka,2020,27 ноября 2021
https://kinobar.vip/25040-zhertva.html,Жертва,"Триллеры, Ужасы, Детектив, Фильмы 2020","Энди Колье, Тур Миан",2020,17 ноября 2021
https://kinobar.vip/23783-krik-krovavoe-posvyaschenie.html,Крик. Кровавое посвящение,"Триллеры, Ужасы, Детектив, Криминал, Фильмы 2020",Джон Берардо,2020,16 октября 2021
https://kinobar.vip/24311-kniga-duhov.html,Книга духов,"Драмы, Детектив, Фильмы 2020",Карло Хинтерманн,2020,5 сентября 2021
https://kinobar.vip/24061-otzvuki.html,Отзвуки,"Драмы, Триллеры, Ужасы, Детектив, Фильмы 2020",Питер Уинтер,2020,9 августа 2021
https://kinobar.vip/23790-potustoronnee.html,Потустороннее,"Триллеры, Детектив, Криминал, Скоро в кино, Фильмы 2020",У Лок-Кван,2020,22 июня 2021
https://kinobar.vip/22133-oboroten-v1.html,Оборотень,"Комедии, Ужасы, Детектив, Фильмы 2020",Джим Каммингс,2020,7 апреля 2021
https://kinobar.vip/22406-poslednie-tri-dnya.html,Последние три дня / Амнезия,"Боевики, Триллеры, Детектив, Криминал, Фильмы 2020",Брайан Ульрих,2020,20 марта 2021
https://kinobar.vip/23075-koldun-mechta-o-vechnosti-v1.html,Колдун: Мечта о вечности,"Боевики, Фэнтези, Детектив, Фильмы 2020",Го Цзинмин,2020,11 февраля 2021
https://kinobar.vip/21792-rebekka-v1.html,Ребекка,"Мелодрамы, Драмы, Триллеры, Детектив, Новинки кино, Фильмы 2020",Бен Уитли,2020,11 февраля 2021
https://kinobar.vip/21612-enola-holms-v3.html,Энола Холмс,"Драмы, Детектив, Криминал, Новинки кино, Фильмы 2020",Гарри Брэдбир,2020,10 февраля 2021
https://kinobar.vip/23050-neobratimost-polnaya-inversiya-v1.html,Необратимость. Полная инверсия,"Драмы, Триллеры, Детектив, Криминал, Фильмы 2020",Гаспар Ноэ,2020,8 февраля 2021
https://kinobar.vip/23009-gruppa-izucheniya-angliyskogo-v1.html,Группа изучения английского,"Комедии, Драмы, Детектив, Фильмы 2020",Ли Джон-пхиль,2020,2 февраля 2021
https://kinobar.vip/22178-pustoy-chelovek-v4.html,Пустой человек,"Драмы, Триллеры, Ужасы, Детектив, Криминал, Новинки кино, Фильмы 2020",Дэвид Прайор,2020,28 января 2021
https://kinobar.vip/22953-nevidimaya-ulika-v1.html,Невидимая улика,"Триллеры, Детектив, Криминал, Фильмы 2020",Чинь Динь Ле Минь,2020,27 января 2021
