link,name,genre,director,year,appearance
https://kinobar.vip/25028-beguschiy-po-lezviyu-chernyy-lotos-1-sezon-12-seriya.html,Бегущий по лезвию: Чёрный лотос 1 сезон 1-12 серия,"Сериалы, Боевики, Мультфильмы, Фантастика, Детектив, Аниме","Синдзи Арамаки, Кэндзи Камияма",2021,30 января 2022
https://kinobar.vip/25050-proza-brodyachih-psov-vse-serii-po-poryadku.html,Проза бродячих псов (все серии по порядку),"Комедии, Сериалы, Боевики, Приключения, Мультфильмы, Фантастика, Детектив, Аниме",Такуя Игараси,2016,18 ноября 2021
https://kinobar.vip/24993-eho-terrora-1-sezon-1-11-seriya.html,Эхо террора 1 сезон 1-11 серия,"Сериалы, Драмы, Триллеры, Мультфильмы, Детектив, Криминал, Аниме","Синъитиро Ватанабэ, Аои Саё, Юдзуру Татикава",2014,11 ноября 2021
https://kinobar.vip/24909-dom-teney-1-sezon-1-13-seriya.html,Дом теней 1 сезон 1-13 серия,"Сериалы, Мультфильмы, Фэнтези, Детектив, Аниме",Кадзуки Охаси,2021,31 октября 2021
https://kinobar.vip/2070-dom-monstr-v1.html,Дом-монстр,"Комедии, Мультфильмы, Семейный, Фэнтези, Детектив",Гил Кинан,2006,24 октября 2021
https://kinobar.vip/24770-chudovischnye-proisshestviya-1-sezon-1-12-seriya.html,Чудовищные происшествия 1 сезон 1-12 серия,"Сериалы, Боевики, Мультфильмы, Фэнтези, Детектив, Аниме",Масая Фудзимори,2021,18 октября 2021
https://kinobar.vip/24747-posledniy-chelovek-1-sezon-1-26-seriya.html,Последний человек 1 сезон 1-26 серия,"Сериалы, Боевики, Приключения, Мультфильмы, Детектив, Спорт",Жереми Перен,2016,16 октября 2021
https://kinobar.vip/24717-mumiya-vse-serii-po-poryadku.html,Мумия (все серии по порядку),"Сериалы, Боевики, Приключения, Триллеры, Мультфильмы, Фэнтези, Ужасы, Детектив","Эдди Хочинс, Дик Сэбаст",2001,13 октября 2021
https://kinobar.vip/24539-agent-vremeni-1-sezon-1-12-seriya.html,Агент времени 1 сезон,"Сериалы, Мультфильмы, Фантастика, Детектив, Аниме",Ли Хаолин,2021,28 сентября 2021
https://kinobar.vip/24465-neobychnoe-taksi-1-sezon-1-13-seriya.html,Необычное такси 1 сезон 1-13 серия,"Сериалы, Мультфильмы, Детектив, Криминал, Аниме",Баку Киносита,2021,21 сентября 2021
https://kinobar.vip/24374-skubi-du-i-truslivyy-hrabrec.html,Скуби-Ду и трусливый Храбрец,"Комедии, Фильмы 2021, Приключения, Мультфильмы, Семейный, Фэнтези, Ужасы, Детектив",Сесилия Аранович,2021,13 сентября 2021
