link,name,genre,director,year,appearance
https://kinobar.vip/25154-dom-s-prislugoy-3-sezon.html,Дом с прислугой 3 сезон 1-3 серия,"Сериалы, Драмы, Триллеры, Фэнтези, Детектив","М. Найт Шьямалан, Нимрод Антал, Ishana Shyamalan",2022,"Вчера, 13:43"
https://kinobar.vip/24038-nensi-dryu-3-sezon.html,Нэнси Дрю 3 сезон 1-13 серия,"Сериалы, Драмы, Фэнтези, Ужасы, Детектив","Ларри Тенг, Аманда Роу, Рубен Гарсиа",2021,29 января 2022
https://kinobar.vip/469-prividenie-v2.html,Привидение,"Мелодрамы, Драмы, Триллеры, Фэнтези, Детектив, ТОП 250 лучших фильмов по версии КиноПоиска",Джерри Цукер,1990,21 января 2022
https://kinobar.vip/24755-otec-sergiy-1-sezon.html,"Сергий против нечисти 1 сезон 1-5,6 серия","Комедии, Сериалы, Фэнтези, Детектив",Кирилл Кузин,2021,14 января 2022
https://kinobar.vip/25496-zacharovannye-4-sezon.html,Зачарованные 4 сезон,"Сериалы, Драмы, Фэнтези, Детектив","Стюарт Гиллард, Джозеф Галлахер, Ванесса Парис",2022,8 января 2022
https://kinobar.vip/1281-garri-potter-i-orden-feniksa-v2.html,Гарри Поттер и Орден Феникса,"Приключения, Семейный, Фэнтези, Детектив, Фильмы про подростков",Дэвид Йэтс,2007,8 января 2022
https://kinobar.vip/24083-ostrov-fantaziy-1-sezon-1-seriya.html,"Остров фантазий 1 сезон 1-9,10 серия","Сериалы, Драмы, Приключения, Фэнтези, Детектив",Адам Кэйн,2021,24 декабря 2021
https://kinobar.vip/25378-vedmak-proishozhdenie-1-sezon.html,Ведьмак: Происхождение 1 сезон,"Сериалы, Боевики, Приключения, Фэнтези, Детектив","Сара О'Горман, Вики Джуисон",2022,21 декабря 2021
https://kinobar.vip/24258-nasledie-4-sezon.html,Наследие 4 сезон 1-9 серия,"Сериалы, Драмы, Приключения, Фэнтези, Ужасы, Детектив","Джеффри Дж. Хант, Джеффри Уинг Шотц, Майкл А. Алловиц",2021,17 декабря 2021
https://kinobar.vip/24564-la-breya-1-sezon-1-seriya.html,Ла-Брея 1 сезон 1-10 серия,"Сериалы, Драмы, Приключения, Триллеры, Фантастика, Фэнтези, Детектив",Тор Фройденталь,2021,1 декабря 2021
https://kinobar.vip/24834-signal-bedstviya.html,Сигнал бедствия,"Фильмы 2021, Драмы, Фэнтези, Детектив",Карен Чинорре,2021,3 ноября 2021
https://kinobar.vip/1251-van-helsing-v3.html,Ван Хельсинг,"Боевики, Приключения, Триллеры, Фэнтези, Детектив, Фильмы про вампиров и оборотней",Стивен Соммерс,2004,2 ноября 2021
https://kinobar.vip/24909-dom-teney-1-sezon-1-13-seriya.html,Дом теней 1 сезон 1-13 серия,"Сериалы, Мультфильмы, Фэнтези, Детектив, Аниме",Кадзуки Охаси,2021,31 октября 2021
https://kinobar.vip/915-sonnaya-loschina-v2.html,Сонная Лощина,"Триллеры, Фэнтези, Ужасы, Детектив",Тим Бёртон,1999,29 октября 2021
https://kinobar.vip/24845-medium-vse-serii-po-poryadku.html,Медиум (все серии по порядку),"Сериалы, Драмы, Триллеры, Фэнтези, Детектив, Криминал","Аарон Липстадт, Питер Уэрнер, Винс Мисиано",2005,27 октября 2021
https://kinobar.vip/310-orudiya-smerti-gorod-kostey-v1.html,Орудия смерти: Город костей,"Мелодрамы, Драмы, Боевики, Приключения, Фэнтези, Детектив, Фильмы 2013",Харольд Цварт,2013,25 октября 2021
https://kinobar.vip/2070-dom-monstr-v1.html,Дом-монстр,"Комедии, Мультфильмы, Семейный, Фэнтези, Детектив",Гил Кинан,2006,24 октября 2021
https://kinobar.vip/24770-chudovischnye-proisshestviya-1-sezon-1-12-seriya.html,Чудовищные происшествия 1 сезон 1-12 серия,"Сериалы, Боевики, Мультфильмы, Фэнтези, Детектив, Аниме",Масая Фудзимори,2021,18 октября 2021
https://kinobar.vip/24717-mumiya-vse-serii-po-poryadku.html,Мумия (все серии по порядку),"Сериалы, Боевики, Приключения, Триллеры, Мультфильмы, Фэнтези, Ужасы, Детектив","Эдди Хочинс, Дик Сэбаст",2001,13 октября 2021
https://kinobar.vip/24634-krutaya-nedvizhimost-1-sezon-1-16-seriya.html,Крутая недвижимость 1 сезон 1-16 серия,"Сериалы, Фэнтези, Детектив, Азиатские сериалы",Пак Чин-сок,2021,3 октября 2021
https://kinobar.vip/24598-karnival-rou-2-sezon.html,Карнивал Роу 2 сезон,"Сериалы, Драмы, Триллеры, Фэнтези, Детектив, Криминал","Тор Фройденталь, Энди Годдард, Джон Эмиел",2021,1 октября 2021
https://kinobar.vip/23952-syurrealisticheskaya-nedvizhimost-syurrieltory-1-sezon-12-seriya.html,Сюрреалистическая недвижимость / Сюрриэлторы 1,"Сериалы, Драмы, Триллеры, Фантастика, Фэнтези, Детектив","Данишка Эстерхази, Пол Фокс, Паоло Барзмен",2021,18 сентября 2021
