link,name,genre,director,year,appearance
https://kinobar.vip/25660-zaslanec-iz-kosmosa-2-sezon-1-seriya.html,Засланец из космоса 2 сезон 1-2 серия,"Комедии, Сериалы, Драмы, Фантастика, Детектив","Роберт Данкан МакНил, Джей Чандрашекхар, Шеннон Коли",2021,3 февраля 2022
https://kinobar.vip/1670-monstro-v2.html,Монстро,"Триллеры, Фантастика, Ужасы, Детектив, Фильмы про катастрофы и апокалипсис",Мэтт Ривз,2008,31 января 2022
https://kinobar.vip/25028-beguschiy-po-lezviyu-chernyy-lotos-1-sezon-12-seriya.html,Бегущий по лезвию: Чёрный лотос 1 сезон 1-12 серия,"Сериалы, Боевики, Мультфильмы, Фантастика, Детектив, Аниме","Синдзи Арамаки, Кэндзи Камияма",2021,30 января 2022
https://kinobar.vip/8782-skvoz-gorizont-v3.html,Сквозь горизонт,"Триллеры, Фантастика, Ужасы, Детектив, Фильмы про космос",Пол У. С. Андерсон,1997,25 января 2022
https://kinobar.vip/25594-uskolzayuschiy-chelovek.html,Ускользающий человек,"Боевики, Фантастика, Детектив, Фильмы 2020",Юн Джэ-гын,2020,19 января 2022
https://kinobar.vip/25566-arhiv-81-1-sezon-1-8-seriya.html,Архив 81 1 сезон 1-8 серия,"Сериалы, Драмы, Триллеры, Фантастика, Ужасы, Детектив","Ребекка Томас, Хайфа Аль-Мансур, Джастин Бенсон",2022,16 января 2022
https://kinobar.vip/25148-prostranstvo-6-sezon.html,Пространство 6 сезон 1-6 серия,"Сериалы, Драмы, Фантастика, Детектив","Брек Эйснер, Джефф Вулнаф, Терри МакДонаф",2021,14 января 2022
https://kinobar.vip/23934-stanciya-11-1-sezon.html,Станция одиннадцать 1 сезон 1-10 серия,"Сериалы, Драмы, Триллеры, Фантастика, Детектив",Хиро Мурай,2021,13 января 2022
https://kinobar.vip/24294-obitel-zla-rakkun-siti.html,Обитель зла: Раккун Сити,"Фильмы 2021, Боевики, Фантастика, Ужасы, Детектив, Новинки кино",Йоханнес Робертс,2021,10 января 2022
https://kinobar.vip/24039-sokolinyy-glaz-1-sezon.html,Соколиный Глаз 1 сезон 1-6 серия,"Сериалы, Драмы, Боевики, Приключения, Фантастика, Детектив, Криминал","Риз Томас, Берт, Кэти Эллвуд",2021,24 декабря 2021
https://kinobar.vip/16826-vampiry-sredney-polosy-1-sezon-1-v4.html,Вампиры средней полосы 1 сезон 1-10 серия,"Сериалы, Триллеры, Фантастика, Детектив",Антон Федотов,2019,20 декабря 2021
https://kinobar.vip/24835-doktor-breyn-1-sezon.html,Доктор Брейн 1 сезон 1-6 серия,"Сериалы, Драмы, Триллеры, Фантастика, Детектив, Азиатские сериалы",Ким Джи-ун,2021,10 декабря 2021
https://kinobar.vip/651-osoboe-mnenie-v2.html,Особое мнение,"Боевики, Триллеры, Фантастика, Детектив",Стивен Спилберг,2002,9 декабря 2021
https://kinobar.vip/967-12-obezyan-v2.html,12 обезьян,"Триллеры, Фантастика, Детектив",Терри Гиллиам,1995,6 декабря 2021
https://kinobar.vip/1826-ya-robot-v2.html,"Я, робот","Боевики, Триллеры, Фантастика, Детектив",Алекс Пройас,2004,5 декабря 2021
https://kinobar.vip/24599-zateryannye-v-kosmose-3-sezon.html,Затерянные в космосе 3 сезон 1-8 серия,"Сериалы, Драмы, Приключения, Фантастика, Семейный, Детектив","Тим Соутэм, Стивен Серджик, Лесли Хоуп",2021,3 декабря 2021
https://kinobar.vip/24564-la-breya-1-sezon-1-seriya.html,Ла-Брея 1 сезон 1-10 серия,"Сериалы, Драмы, Приключения, Триллеры, Фантастика, Фэнтези, Детектив",Тор Фройденталь,2021,1 декабря 2021
https://kinobar.vip/25141-vyhod.html,Выход,"Драмы, Триллеры, Фантастика, Детектив, Фильмы 2020",Sebastian Marka,2020,27 ноября 2021
https://kinobar.vip/916-vanilnoe-nebo-v1.html,Ванильное небо,"Мелодрамы, Триллеры, Фантастика, Детектив, Фильмы про любовь",Кэмерон Кроу,2001,23 ноября 2021
https://kinobar.vip/25050-proza-brodyachih-psov-vse-serii-po-poryadku.html,Проза бродячих псов (все серии по порядку),"Комедии, Сериалы, Боевики, Приключения, Мультфильмы, Фантастика, Детектив, Аниме",Такуя Игараси,2016,18 ноября 2021
https://kinobar.vip/24092-rokovoy-patrul-3-sezon.html,Роковой патруль 3 сезон 1-10 серия,"Комедии, Сериалы, Драмы, Боевики, Фантастика, Детектив","Крис Мэнли, Гарри Жиержиан, Дермотт Даунс",2021,12 ноября 2021
https://kinobar.vip/24881-chetyre-tysyachi-chetyresta-vse-serii-po-poryadku.html,Четыре тысячи четыреста (все серии по порядку),"Сериалы, Драмы, Триллеры, Фантастика, Детектив","Скотт Питерс, Винс Мисиано, Ник Копус",2004,29 октября 2021
https://kinobar.vip/24813-devushka-v-lesu-1-sezon-1-8-seriya.html,Девушка в лесу 1 сезон 1-8 серия,"Сериалы, Драмы, Триллеры, Фантастика, Ужасы, Детектив","Джейкоб Чейз, Кристен Риттер",2021,23 октября 2021
https://kinobar.vip/24644-tayna-lilit-1-sezon.html,"Тайна Лилит 1 сезон 1-15,16 серия","Сериалы, Фантастика, Детектив, Криминал","Александр Баранов, Сергей Краснов, Егор Анашкин",2021,21 октября 2021
https://kinobar.vip/24792-antimateriya.html,Антиматерия,"Фантастика, Ужасы, Детектив, Фильмы 2016",Кейр Берроуз,2016,20 октября 2021
https://kinobar.vip/24741-inaya-zhizn-2-sezon-1-10-seriya.html,Иная жизнь 2 сезон 1-10 серия,"Сериалы, Драмы, Приключения, Триллеры, Фантастика, Детектив","Майрзи Алмас, Аллан Аркуш, Шери Фоксон",2021,16 октября 2021
https://kinobar.vip/24725-postoronniy.html,Посторонний,"Триллеры, Фантастика, Детектив, Фильмы 2019",Дмитрий Томашпольский,2019,14 октября 2021
https://kinobar.vip/393-gattaka-v2.html,Гаттака,"Мелодрамы, Драмы, Фантастика, Детектив, ТОП 250 лучших фильмов по версии КиноПоиска",Эндрю Никкол,1997,6 октября 2021
https://kinobar.vip/24539-agent-vremeni-1-sezon-1-12-seriya.html,Агент времени 1 сезон,"Сериалы, Мультфильмы, Фантастика, Детектив, Аниме",Ли Хаолин,2021,28 сентября 2021
https://kinobar.vip/23952-syurrealisticheskaya-nedvizhimost-syurrieltory-1-sezon-12-seriya.html,Сюрреалистическая недвижимость / Сюрриэлторы 1,"Сериалы, Драмы, Триллеры, Фантастика, Фэнтези, Детектив","Данишка Эстерхази, Пол Фокс, Паоло Барзмен",2021,18 сентября 2021
https://kinobar.vip/23153-vospominanie-v1.html,Воспоминания,"Фильмы 2021, Мелодрамы, Триллеры, Фантастика, Детектив, Новинки кино",Лиза Джой,2021,15 сентября 2021
https://kinobar.vip/1167-trinadcatyy-etazh-v1.html,Тринадцатый этаж,"Триллеры, Фантастика, Детектив",Йозеф Руснак,1999,14 сентября 2021
https://kinobar.vip/7272-kontakt-v1.html,Контакт,"Драмы, Триллеры, Фантастика, Детектив, Фильмы про НЛО",Роберт Земекис,1997,9 сентября 2021
https://kinobar.vip/1358-2001-god-kosmicheskaya-odisseya-v2.html,2001 год: Космическая одиссея,"Приключения, Фантастика, Детектив, Фильмы про космос",Стэнли Кубрик,1968,3 сентября 2021
